elsoura,meaning,elgoz2,text,elsoura2
سورة البقرة,تلك متمنياتهم,الجزء الاول,تلك أمانيهم ,سورة البقرة
سورة البقرة,قل لهم يا محمد هاتوا بينتكم,الجزء الاول,قل هاتوا برهنكم ,سورة البقرة
سورة البقرة,إن كنتم محقين,الجزء الاول,إن كنتم صدقين ,سورة البقرة
سورة البقرة,بلى من استسلم لله مخلصا له,الجزء الاول,بلى من أسلم وجهه لله,سورة البقرة
سورة البقرة,وهو محسن بالطاعة,الجزء الاول,وهو محسن ,سورة البقرة
سورة البقرة,فله ثوابه عند مالكه ومدبر أمره,الجزء الاول,فله أجره عند ربه,سورة البقرة
سورة البقرة,ولا خوف عليهم من أهوال الآخرة إذا قدموا إليها,الجزء الاول,ولا خوف عليهم ,سورة البقرة
سورة البقرة,ولا هم يأسون على ما فاتهم من متاع الدنيا إذا رحلوا عنها,الجزء الاول,ولاهم يحزنون ,سورة البقرة
سورة البقرة,وقالت اليهود ليست ديانة النصارى بشيء,الجزء الاول,و قالت اليهود ليست النصرى على شيءٖ,سورة البقرة
سورة البقرة,وقالت النصارى ليست ديانة اليهود بشيء,الجزء الاول,وقالت النصرى ليست اليهود على شيءٖ,سورة البقرة
سورة البقرة,وهم يقرؤون ,الجزء الاول,وهم يتلون ,سورة البقرة
سورة البقرة,التوراة والإنجيل,الجزء الاول,الكتب ,سورة البقرة
سورة البقرة,كذلك قال الذين لا يدرون مثل قولهم,الجزء الاول,كذلك قال الذين لا يعلمون مثل قولهم,سورة البقرة
سورة البقرة,فالله يفصل بينهم,الجزء الاول,فالله يحكم بينهم ,سورة البقرة
سورة البقرة,يوم البعث,الجزء الاول,يوم القيمة ,سورة البقرة
سورة البقرة,في ما كانوا فيه يختلفون من أمر دينهم,الجزء الاول,فيما كانوا فيه يختلفون ,سورة البقرة
سورة البقرة,ومن أشد ظلما,الجزء الاول,ومن أظلم,سورة البقرة
سورة البقرة,ممن حال دون أن يذكر اسم الله في مساجده,الجزء الاول,ممن منع مسجد الله أن يذكر فيها اسمه ,سورة البقرة
سورة البقرة,وعمل على خرابها,الجزء الاول,وسعى في خرابها,سورة البقرة
سورة البقرة,أولئك ما كان لهم أن يلجوا هذه المساجد,الجزء الاول,أولئك ما كان لهم أن يدخلوها ,سورة البقرة
سورة البقرة,إلا وجلين,الجزء الاول,إلا خائفين ,سورة البقرة
سورة البقرة,لهم في الدنيا ذل وصغار,الجزء الاول,لهم في الدنيا خزي ,سورة البقرة
سورة البقرة,ولهم في الآخرة عذاب شديد,الجزء الاول,ولهم في الأخرة عذاب عظيم ,سورة البقرة
سورة البقرة,ولله ملك المشرق والمغرب,الجزء الاول,ولله المشرق والمغرب  ,سورة البقرة
سورة البقرة,فأي جهة تستقبلوا,الجزء الاول,فأينما تولوا ,سورة البقرة
سورة البقرة,فهنالك وجه الله,الجزء الاول,فثم وجه الله,سورة البقرة
سورة البقرة,إن الله واسع قد وسع خلقه بالكفاية والتدبير,الجزء الاول,إن الله وسع ,سورة البقرة
سورة البقرة,ذو علم محيط بجميع أحوالهم,الجزء الاول,عليم ,سورة البقرة
سورة البقرة,وقالت اليهود والنصارى اتخذ الله ولدا,الجزء الاول,وقالوا اتخذ الله ولدا ,سورة البقرة
سورة البقرة,تنزه وتقدس,الجزء الاول,سبحنه,سورة البقرة
سورة البقرة,بل له ملك ما في السماوات والأرض,الجزء الاول,بل له ما في السموت والأرض,سورة البقرة
سورة البقرة,كل له منقادون خاضعون,الجزء الاول,كل له قنتون ,سورة البقرة
سورة البقرة,منشئ السماوات والأرض ومخترعهما على غير مثال,الجزء الاول,بديع السموت والأرض ,سورة البقرة
سورة البقرة,وإذا حكم بأمر,الجزء الاول,وإذا قضى أمرا ,سورة البقرة
سورة البقرة,فإنما يقول له قع فيقع,الجزء الاول,فإنما يقول له كن فيكون,سورة البقرة
سورة البقرة,وقال الذين لا يدرون,الجزء الاول,وقال الذين لا يعلمون,سورة البقرة
سورة البقرة,هلا يكلمنا الله,الجزء الاول,لولا يكلمنا الله ,سورة البقرة
سورة البقرة,أو تأتينا معجزة,الجزء الاول,أو تأتينا ءاية ,سورة البقرة
سورة البقرة,هكذا قال من قبلهم مثل قولهم,الجزء الاول,كذلك قال الذين من قبلهم مثل قولهمۘ,سورة البقرة
سورة البقرة,تماثلت قلوبهم,الجزء الاول,تشبهت قلوبهم ,سورة البقرة
سورة البقرة,قد وضحنا الآيات,الجزء الاول,قد بينا الأيت ,سورة البقرة
سورة البقرة,لقوم يستيقنون,الجزء الاول,لقومٖ يوقنون,سورة البقرة
سورة البقرة,إنا بعثناك بالحق,الجزء الاول,إنا أرسلنك بالحق ,سورة البقرة
سورة البقرة,مبشرا من أطاع بالجنة,الجزء الاول,بشيرا ,سورة البقرة
سورة البقرة,ومنذرا من عصى من النار,الجزء الاول,ونذيرا,سورة البقرة
سورة البقرة,ولا تسأل يا محمد عن أهل الجحيم,الجزء الاول,ولا تسٔل عن أصحب الجحيم ,سورة البقرة
سورة البقرة,ولن تحصل على رضى اليهود والنصارى عنك,الجزء الاول,ولن ترضى عنك اليهود ولا النصرى ,سورة البقرة
سورة البقرة,حتى تقتفي,الجزء الاول,حتى تتبع ,سورة البقرة
سورة البقرة,ديانتهم,الجزء الاول,ملتهم ,سورة البقرة
سورة البقرة,قل إن بيان الله هو البيان وهدايته هي الهداية,الجزء الاول,قل إن هدى الله هو الهدى,سورة البقرة
سورة البقرة,ولئن اقتفيت أهواءهم,الجزء الاول,ولئن اتبعت أهواءهم,سورة البقرة
سورة البقرة,بعد الذي أتاك من الوحي,الجزء الاول,بعد الذي جاءك من العلم,سورة البقرة
سورة البقرة,لن يكون لك من دون الله من متول يتولاك,الجزء الاول,ما لك من الله من وليٖ,سورة البقرة
سورة البقرة,ولا ناصر ينصرك منه,الجزء الاول,ولا نصير,سورة البقرة
سورة البقرة,الذين أعطيناهم الكتاب,الجزء الاول,الذين ءاتينهم الكتب ,سورة البقرة
سورة البقرة,يقرؤونه حق قراءته وحقها امتثال ما جاء فيه,الجزء الاول,يتلونه حق تلاوته,سورة البقرة
سورة البقرة,ألئك يصدقون به,الجزء الاول,أولئك يؤمنون به,سورة البقرة
سورة البقرة,ومن يجحد به,الجزء الاول,ومن يكفر به,سورة البقرة
سورة البقرة,فألئك هم الهالكون المغبونون,الجزء الاول,فأولئك هم الخسرون,سورة البقرة
سورة البقرة,يا بني يعقوب عليه السلام,الجزء الاول,يبني إسرءيل,سورة البقرة
سورة البقرة,اذكروا فضلي الذي تفضلت عليكم به,الجزء الاول,اذكروا نعمتي التي أنعمت عليكم,سورة البقرة
سورة البقرة,واذكروا أني فضلتكم ,الجزء الاول,وأني فضلتكم ,سورة البقرة
سورة البقرة,على جميع أهل العالم في زمانكم,الجزء الاول,على العلمين,سورة البقرة
سورة البقرة,و خافوا واحذروا يوما,الجزء الاول,واتقوا يوما,سورة البقرة
سورة البقرة,لا تدفع ولا تتحمل نفس عن نفس شيئا,الجزء الاول,لا تجزي نفس عن نفسٖ شئا,سورة البقرة
سورة البقرة,ولا يقبل منها فداء,الجزء الاول,ولا يقبل منها عدل ,سورة البقرة
سورة البقرة,ولا تنفعها وساطة,الجزء الاول,ولا تنفعها شفعة,سورة البقرة
سورة البقرة,ولا هم يمنعون من عذاب الله,الجزء الاول,ولا هم ينصرون,سورة البقرة
سورة البقرة,واذكر يا محمد إذ اختبر إبراهيم,الجزء الاول,وإذ ابتلى إبرهۧم,سورة البقرة
سورة البقرة,مالكه ومدبر أمره بأوامر ونواهٍ,الجزء الاول,ربه بكلمتٖ ,سورة البقرة
سورة البقرة,فأداهن كاملة,الجزء الاول,فأتمهن,سورة البقرة
سورة البقرة,قال إني مصيرك,الجزء الاول,قال إني جاعلك,سورة البقرة
سورة البقرة,للناس إماما يأتمون بك ويهتدون بهديك,الجزء الاول,للناس إماما,سورة البقرة
سورة البقرة,قال واجعل من ذريتي أئمة,الجزء الاول,قال ومن ذريتي,سورة البقرة
سورة البقرة,قال لا يشمل عهدي بالإمامة المتعدين على أنفسهم بالكفر,الجزء الاول,قال لا ينال عهدي الظلمين ,سورة البقرة
سورة البقرة,واذكر إذ جعلنا الكعبة,الجزء الاول,وإذ جعلنا البيت ,سورة البقرة
سورة البقرة,مرجعا يثوب الناس إليه,الجزء الاول,مثابة للناس,سورة البقرة
سورة البقرة,وحرما آمنا,الجزء الاول,وأمنا ,سورة البقرة
سورة البقرة,واجعلوا أيها الناس,الجزء الاول,واتخذوا ,سورة البقرة
سورة البقرة,من الحجر الذي قام عليه إبراهيم,الجزء الاول,من مقام إبرهۧم ,سورة البقرة
سورة البقرة,موضعا للصلاة,الجزء الاول,مصلى,سورة البقرة
سورة البقرة,وأمرنا إبراهيم وإسماعيل ووصيناهما,الجزء الاول,وعهدنا إلى إبرهۧم وإسمعيل,سورة البقرة
سورة البقرة,أن طهرا كعبتي,الجزء الاول,أن طهرا بيتي,سورة البقرة
سورة البقرة,لقاصديها للطواف بها,الجزء الاول,للطائفين,سورة البقرة
سورة البقرة,والمقيمين لديها للعبادة,الجزء الاول,والعكفين ,سورة البقرة
سورة البقرة,والمصلين,الجزء الاول,والركع السجود ,سورة البقرة
سورة البقرة,واذكر إذ قال إبراهيم يا مالكي ومدبر أمري اجعل بلد مكة هذا بلدا آمنا,الجزء الاول,وإذ قال إبرهۧم رب اجعل هذا بلدا ءامنا,سورة البقرة
سورة البقرة,وهب أهله من أنواع الثمرات,الجزء الاول,وارزق أهله من الثمرت,سورة البقرة
سورة البقرة,من صدق منهم بالله واليوم الآخر,الجزء الاول,من ءامن منهم بالله واليوم الأخر,سورة البقرة
سورة البقرة,قال تعالى ومن جحد,الجزء الاول,قال و من كفر ,سورة البقرة
سورة البقرة,فسأجعل له ذلك متاعا في حياته الدنيا القليلة,الجزء الاول,فأمتعه قليلا,سورة البقرة
سورة البقرة,ثم ألجئه يوم القيامة إلى عذاب النار,الجزء الاول,ثم أضطره إلى عذاب النار,سورة البقرة
سورة البقرة,وبئس المآل,الجزء الاول,وبئس المصير,سورة البقرة
سورة البقرة,واذكر إذ يرفع إبراهيم,الجزء الاول,وإذ يرفع إبرهۧم ,سورة البقرة
سورة البقرة,الأساسات من الكعبة ,الجزء الاول,القواعد من البيت ,سورة البقرة
سورة البقرة,ويرفعها معه إسماعيل,الجزء الاول,وإسمعيل,سورة البقرة
سورة البقرة,وهما يسألان الله يا مالكنا ومدبر أمرنا تقبل منا,الجزء الاول,ربنا تقبل منا ,سورة البقرة
سورة البقرة,إن كنت أنت السميع لأقوالنا,الجزء الاول,إنك أنت السميع ,سورة البقرة
سورة البقرة,العليم بأفعالنا,الجزء الاول,العليم ,سورة البقرة
سورة البقرة,يا مالكنا ومدبر أمرنا وصيرنا,الجزء الاول,ربنا واجعلنا ,سورة البقرة
سورة البقرة,منقادين خاضعين لك,الجزء الاول,مسلمين لك ,سورة البقرة
سورة البقرة,ومن نسلنا,الجزء الاول,ومن ذريتنا ,سورة البقرة
سورة البقرة,جماعة,الجزء الاول,أمة ,سورة البقرة
سورة البقرة,منقادة خاضعة لك,الجزء الاول,مسلمة لك,سورة البقرة
سورة البقرة,وأشهدنا,الجزء الاول,وأرنا ,سورة البقرة
سورة البقرة,شرائع حجنا,الجزء الاول,مناسكنا ,سورة البقرة
سورة البقرة,واقبل توبتنا,الجزء الاول,وتب علينا,سورة البقرة
سورة البقرة,إنك أنت الكثير التوبة على عبادك المؤمنين,الجزء الاول,إنك أنت التواب,سورة البقرة
سورة البقرة,ذو الرحمة الدائمة بهم,الجزء الاول,الرحيم,سورة البقرة
سورة البقرة,يا مالكنا ومدبر أمرنا وأرسل في أهل مكة,الجزء الاول,ربنا وابعث فيهم,سورة البقرة
سورة البقرة,رسولا من أنفسهم,الجزء الاول,رسولا منهم,سورة البقرة
سورة البقرة,يقرأ عليهم آياتك,الجزء الاول,يتلوا عليهم ءايتك,سورة البقرة
سورة البقرة,ويعلمهم الكتاب والسنة,الجزء الاول,ويعلمهم الكتب والحكمة ,سورة البقرة
سورة البقرة,ويطهرهم ويباركهم,الجزء الاول,ويزكيهم,سورة البقرة
سورة البقرة,إنك أنت القوي المنيع الجانب,الجزء الاول,إنك أنت العزيز ,سورة البقرة
سورة البقرة,المتقن البديع التدبير,الجزء الاول,الحكيم ,سورة البقرة
سورة البقرة,ومن يعرض,الجزء الاول,ومن يرغب ,سورة البقرة
سورة البقرة,عن ديانة إبراهيم,الجزء الاول,عن ملة إبرهۧم,سورة البقرة
سورة البقرة,إلا من جهل على نفسه ولم يبال بهلاكها,الجزء الاول,إلا من سفه نفسه,سورة البقرة
سورة البقرة,ولقد اجتبيناه في دار الدنيا,الجزء الاول,ولقد اصطفينه في الدنيا,سورة البقرة
سورة البقرة,و إنه في دار الآخرة,الجزء الاول,وإنه في الأخرة,سورة البقرة
سورة البقرة,لمن أهل الصلاح,الجزء الاول,لمن الصلحين,سورة البقرة
سورة البقرة,إذ قال له مالكه ومدبر أمره  انقد واخضع,الجزء الاول,إذ قال له ربه أسلم,سورة البقرة
سورة البقرة,قال انقدت وخضعت لمالك ومدبر العالمين,الجزء الاول,قال أسلمت لرب العلمين ,سورة البقرة
سورة البقرة,وعهد إبراهيم بملة الإسلام,الجزء الاول,ووصى بها إبرهۧم,سورة البقرة
سورة البقرة,إلى أولاده,الجزء الاول,بنيه,سورة البقرة
سورة البقرة,وعهد بها يعقوب إلى أولاده,الجزء الاول,ويعقوب ,سورة البقرة
سورة البقرة,فقال يا أولادي,الجزء الاول,يبني,سورة البقرة
سورة البقرة,إن الله اختار لكم الدين أي دين الإسلام,الجزء الاول,إن الله اصطفى لكم الدين ,سورة البقرة
سورة البقرة,فلا تفارقوا الحياة إلا وأنتم مسلمون,الجزء الاول,فلا تموتن إلا و أنتم مسلمون,سورة البقرة
سورة البقرة,أم كنتم حاضرين,الجزء الاول,أم كنتم شهداء ,سورة البقرة
سورة البقرة,إذ نزل بيعقوب الموت,الجزء الاول,إذ حضر يعقوب الموت ,سورة البقرة
سورة البقرة,إذ قال لأولاده,الجزء الاول,إذ قال لبنيه,سورة البقرة
سورة البقرة,ما تعبدون من بعد موتي,الجزء الاول,ما تعبدون من بعدي,سورة البقرة
سورة البقرة,قالوا نعبد معبودك ومعبود آبائك,الجزء الاول,قالوا نعبد إلهك وإله ءابائك,سورة البقرة
سورة البقرة,جدك إبراهيم ,الجزء الاول,إبرهۧم,سورة البقرة
سورة البقرة,وعمك إسماعيل,الجزء الاول,وإسمعيل ,سورة البقرة
سورة البقرة,وأبيك إسحاق,الجزء الاول,وإسحق,سورة البقرة
سورة البقرة,ربا واحدا لا شريك له,الجزء الاول,إلها وحدا,سورة البقرة
سورة البقرة,ونحن له منقادون خاضعون,الجزء الاول,ونحن له مسلمون,سورة البقرة
سورة البقرة,تلك جماعة,الجزء الاول,تلك أمة ,سورة البقرة
سورة البقرة,قد مضت,الجزء الاول,قد خلت,سورة البقرة
سورة البقرة,لها ما عملت,الجزء الاول,لها ما كسبت ,سورة البقرة
سورة البقرة,ولكم ما عملتم,الجزء الاول,ولكم ما كسبتم,سورة البقرة
سورة البقرة,ولا تسألون عما كانوا يصنعون,الجزء الاول,ولا تسٔلون عما كانوا يعملون,سورة البقرة
سورة البقرة,وقالت اليهود والنصارى لمن أسلموا,الجزء الاول,وقالوا,سورة البقرة
سورة البقرة,كونوا يهودا,الجزء الاول,كونوا هودا,سورة البقرة
سورة البقرة,أو كونوا نصارى,الجزء الاول,أو نصرى,سورة البقرة
سورة البقرة,ترشدوا,الجزء الاول,تهتدوا,سورة البقرة
سورة البقرة,قل لهم يا محمد بل نتبع ملة إبراهيم,الجزء الاول,قل بل ملة إبرهۧم,سورة البقرة
سورة البقرة,مائلا عن الباطل إلى الحق,الجزء الاول,حنيفا,سورة البقرة
سورة البقرة,وما كان إبراهيم من الذين أشركوا بالله تعالى,الجزء الاول,وما كان من المشركين ,سورة البقرة
سورة البقرة,قولوا أيها المسلمون لليهود والنصارى صدقنا بالله,الجزء الاول,قولوا ءامنا بالله,سورة البقرة
سورة البقرة,وما أنزل إلينا من القرآن,الجزء الاول,وما أنزل إلينا,سورة البقرة
سورة البقرة,وما أنزل إلى إبراهيم من الصحف,الجزء الاول,وما أنزل إلى إبرهۧم,سورة البقرة
سورة البقرة,وإسماعيل وإسحاق ويعقوب وأبناء يعقوب,الجزء الاول,وإسمعيل و إسحق ويعقوب والأسباط ,سورة البقرة
سورة البقرة,وما أعطي موسى من التوراة,الجزء الاول,وما أوتي موسى,سورة البقرة
سورة البقرة,وعيسى من الإنجيل,الجزء الاول,وعيسى,سورة البقرة
سورة البقرة,وما أعطي النبيون من الآيات والكتب,الجزء الاول,وما أوتي النبيون,سورة البقرة
سورة البقرة,من عند مالكهم ومدبر أمرهم,الجزء الاول,من ربهم,سورة البقرة
سورة البقرة,لا فرق عندنا بينهم,الجزء الاول,لا نفرق بين أحدٖ منهم ,سورة البقرة
سورة البقرة,ونحن لمالكنا ومدبر أمرنا منقادون خاضعون,الجزء الاول,ونحن له مسلمون,سورة البقرة
سورة البقرة,فإن صدق اليهود والنصارى,الجزء الاول,فإن ءامنوا,سورة البقرة
سورة البقرة,بمثل ما صدقتم به,الجزء الاول,بمثل ما ءامنتم به,سورة البقرة
سورة البقرة,فقد رشدوا,الجزء الاول,فقد اهتدوا,سورة البقرة
سورة البقرة,وإن أعرضوا,الجزء الاول,وإن تولوا,سورة البقرة
سورة البقرة,فإنما هم في فراق ونزاع,الجزء الاول,فإنما هم في شقاقٖ,سورة البقرة
سورة البقرة,فسيكفيك الله شرهم,الجزء الاول,فسيكفيكهم الله  ,سورة البقرة
سورة البقرة,وهو السميع لأقوالهم,الجزء الاول,وهو السميع ,سورة البقرة
سورة البقرة,العليم بأحوالهم,الجزء الاول,العليم ,سورة البقرة
سورة البقرة,قل لهم يا محمد نتبع فطرة الله أو اعرفوا فطرة الله,الجزء الاول,صبغة الله ,سورة البقرة
سورة البقرة,ومن أحسن من الله فطرة,الجزء الاول,ومن أحسن من الله صبغة,سورة البقرة
سورة البقرة,ونحن له متوجهون بالعبادة,الجزء الاول,ونحن له عبدون ,سورة البقرة
سورة البقرة,قل أتجادلوننا في الله,الجزء الاول,قل أتحاجوننا في الله ,سورة البقرة
سورة البقرة,وهو مالكنا ومدبر أمرنا ومالككم ومدبر أمركم,الجزء الاول,وهو ربنا و ربكم,سورة البقرة
سورة البقرة,ولنا ما كسبنا,الجزء الاول,ولنا أعملنا,سورة البقرة
سورة البقرة,ولكم ما كسبتم,الجزء الاول,ولكم أعملكم,سورة البقرة
سورة البقرة,ونحن له في ذلك صادقون مجتهدون,الجزء الاول,ونحن له مخلصون ,سورة البقرة
سورة البقرة,أم تقولون أيها اليهود والنصارى إن إبراهيم خليل الله,الجزء الاول,أم تقولون إن إبرهۧم,سورة البقرة
سورة البقرة,وابنه إسماعيل,الجزء الاول,وإسمعيل,سورة البقرة
سورة البقرة,وابنه الثاني إسحاق,الجزء الاول,وإسحق,سورة البقرة
سورة البقرة,وابن إسحاق يعقوب,الجزء الاول,ويعقوب,سورة البقرة
سورة البقرة,وأبناء يعقوب,الجزء الاول,والأسباط ,سورة البقرة
سورة البقرة,كانوا على دين اليهودية,الجزء الاول,كانوا هودا,سورة البقرة
سورة البقرة,أو على دين النصرانية,الجزء الاول,أو نصرى,سورة البقرة
سورة البقرة,قل لهم يا محمد أأنتم أدرى أم الله,الجزء الاول,قل ءأنتم أعلم أم الله,سورة البقرة
سورة البقرة,ومن أشد ظلما,الجزء الاول,ومن أظلم,سورة البقرة
سورة البقرة,ممن أخفى,الجزء الاول,ممن كتم,سورة البقرة
سورة البقرة,شهادة من الله عنده بشأن إبراهيم وإسماعيل والأسباط,الجزء الاول,شهدة عنده من الله,سورة البقرة
سورة البقرة,وما الله بساه عما تصنعون,الجزء الاول,وما الله بغفل عما تعملون,سورة البقرة
سورة البقرة,تلك جماعة,الجزء الاول,تلك أمة,سورة البقرة
سورة البقرة,قد مضت,الجزء الاول,قد خلت,سورة البقرة
سورة البقرة,لها ما عملت,الجزء الاول,لها ما كسبت ,سورة البقرة
سورة البقرة,ولكم ما عملتم,الجزء الاول,ولكم ما كسبتم,سورة البقرة
سورة البقرة,ولا تسألون عما كانوا يصنعون,الجزء الاول,ولا تسٔلون عما كانوا يعملون,سورة البقرة
سورة البقرة,سيقول أهل الجهالة والطيش من الناس,الجزء الثاني,سيقول السفهاء من الناس,سورة البقرة
سورة البقرة,ما حولهم,الجزء الثاني,ما ولىهم ,سورة البقرة
سورة البقرة,عن وجهة صلاتهم,الجزء الثاني,عن قبلتهم ,سورة البقرة
سورة البقرة,التي كانوا يصلون إليها,الجزء الثاني,التي كانوا عليها  ,سورة البقرة
سورة البقرة,قل يا محمد لله ملك المشرق والمغرب,الجزء الثاني,قل لله المشرق والمغرب  ,سورة البقرة
سورة البقرة,يوفق,الجزء الثاني,يهدي ,سورة البقرة
سورة البقرة,من يريد ,الجزء الثاني,من يشاء ,سورة البقرة
سورة البقرة,إلى طريق,الجزء الثاني,إلى صرطٖ,سورة البقرة
سورة البقرة,قويم,الجزء الثاني,مستقيمٖ,سورة البقرة
سورة البقرة,وكما أرشدناكم إلى الطريق القويم جعلناكم أمة خيارا,الجزء الثاني,وكذلك جعلنكم أمة وسطا,سورة البقرة
سورة البقرة,لتشهدوا يوم القيامة على الأمم أن رسلهم قد بلغتهم,الجزء الثاني,لتكونوا شهداء على الناس,سورة البقرة
سورة البقرة,ويكون الرسول شهيدا عليكم أنه بلغكم,الجزء الثاني,ويكون الرسول عليكم شهيدا,سورة البقرة
سورة البقرة,و ما جعلنا الوجهة التي كنت تصلي إليها ثم حولناك عنها,الجزء الثاني,و ما جعلنا القبلة التي كنت عليها,سورة البقرة
سورة البقرة,إلا لنعلم علم وقوع وظهور بعد أن كانا نعلم علم تقدير وقضاء,الجزء الثاني,إلا لنعلم,سورة البقرة
سورة البقرة,من يقتفي الرسول,الجزء الثاني,من يتبع الرسول,سورة البقرة
سورة البقرة,ممن يرتد,الجزء الثاني,ممن ينقلب,سورة البقرة
سورة البقرة,على قفاه عن الإسلام,الجزء الثاني,على عقبيه,سورة البقرة
سورة البقرة,وإن كانت مسألة التحول عن قبلة بيت المقدس إلى الكعبة لشاقة لدى النفوس,الجزء الثاني,و إن كانت لكبيرة,سورة البقرة
سورة البقرة,إلا على الذين وفق الله,الجزء الثاني,إلا على الذين هدى الله,سورة البقرة
سورة البقرة,وما كان الله ليضيع ثواب صلاتكم إلى بيت المقدس,الجزء الثاني,وما كان الله ليضيع إيمنكم,سورة البقرة
سورة البقرة,إن الله بأهل الإيمان من الناس لذو رأفة,الجزء الثاني,إن الله بالناس لرءوف ,سورة البقرة
سورة البقرة,وذو رحمة دائمة,الجزء الثاني,رحيم,سورة البقرة
سورة البقرة,قد نرى تحول وجهك في السماء,الجزء الثاني,قد نرى تقلب وجهك في السماء,سورة البقرة
سورة البقرة,فلنوجهنك,الجزء الثاني,فلنولينك,سورة البقرة
سورة البقرة,وجهة صلاة ترضاها,الجزء الثاني,قبلة ترضىها,سورة البقرة
سورة البقرة,فوجه وجهك,الجزء الثاني,فول وجهك,سورة البقرة
سورة البقرة,تلقاء,الجزء الثاني,شطر,سورة البقرة
سورة البقرة,البيت الحرام,الجزء الثاني,المسجد الحرام,سورة البقرة
سورة البقرة,وأينما كنتم,الجزء الثاني,و حيث ما كنتم,سورة البقرة
سورة البقرة,فوجهوا وجوهكم تلقاءه,الجزء الثاني,فولوا وجوهكم شطره,سورة البقرة
سورة البقرة,وإن الذين أعطوا الكتاب من اليهود والنصارى,الجزء الثاني,وإن الذين أوتوا الكتب,سورة البقرة
سورة البقرة,ليعرفون,الجزء الثاني,ليعلمون,سورة البقرة
سورة البقرة,أنه الحق من مالكهم ومدبر أمرهم,الجزء الثاني,أنه الحق من ربهم,سورة البقرة
سورة البقرة,وما الله بساه,الجزء الثاني,و ما الله بغفل,سورة البقرة
سورة البقرة,عما يصنعون,الجزء الثاني,عما يعملون ,سورة البقرة
سورة البقرة,ولئن جئت يا محمد,الجزء الثاني,و لئن أتيت ,سورة البقرة
سورة البقرة,الذين أعطوا الكتاب من اليهود والنصارى,الجزء الثاني,الذين أوتوا الكتب ,سورة البقرة
سورة البقرة,بكل بينة,الجزء الثاني,بكل ءايةٖ ,سورة البقرة
سورة البقرة,ما اقتفوا قبلتك,الجزء الثاني,ما تبعوا قبلتك ,سورة البقرة
سورة البقرة,وما أنت بمقتف قبلتهم,الجزء الثاني,و ما أنت بتابعٖ قبلتهم,سورة البقرة
سورة البقرة,وما بعضهم بمقتف قبلة بعض,الجزء الثاني,و ما بعضهم بتابعٖ قبلة بعضٖ,سورة البقرة
سورة البقرة,ولئن اقتفيت يا محمد أهواءهم,الجزء الثاني,و لئن اتبعت أهواءهم ,سورة البقرة
سورة البقرة,من بعد ما أتاك من الوحي,الجزء الثاني,من بعد ما جاءك من العلم,سورة البقرة
سورة البقرة,إنك إذا لمن المتعدين,الجزء الثاني,إنك إذا لمن الظلمين,سورة البقرة
سورة البقرة,الذين أعطيناهم الكتاب من اليهود والنصارى,الجزء الثاني,الذين ءاتينهم الكتب ,سورة البقرة
سورة البقرة,يعرفون محمدا صلى الله عليه وسلم بأوصافه المذكورة في التوراة والإنجيل,الجزء الثاني,يعرفونه ,سورة البقرة
سورة البقرة,كما يعرفون أولادهم,الجزء الثاني,كما يعرفون أبناءهم ,سورة البقرة
سورة البقرة,وإن طائفة منهم,الجزء الثاني,و إن فريقا منهم  ,سورة البقرة
سورة البقرة,ليخفون الحق,الجزء الثاني,ليكتمون الحق,سورة البقرة
سورة البقرة,وهم يعرفون,الجزء الثاني,و هم يعلمون ,سورة البقرة
سورة البقرة,هذا هو الحق من مالكك ومدبر أمرك ,الجزء الثاني,الحق من ربك ,سورة البقرة
سورة البقرة,فلا تكونن من الشاكين ,الجزء الثاني,فلا تكونن من الممترين,سورة البقرة
سورة البقرة,ولكل منكم قبلة,الجزء الثاني,و لكلٖ وجهة ,سورة البقرة
سورة البقرة,هو متوجه إليها,الجزء الثاني,هو موليها,سورة البقرة
سورة البقرة,فبادروا,الجزء الثاني,فاستبقوا ,سورة البقرة
سورة البقرة,الأعمال الصالحة,الجزء الثاني,الخيرت ,سورة البقرة
سورة البقرة,حيثما تكونوا,الجزء الثاني,أين ما تكونوا ,سورة البقرة
سورة البقرة,يجيء بكم الله جميعا يوم القيامة,الجزء الثاني,يأت بكم الله جميعا,سورة البقرة
سورة البقرة,إن الله على كل أمر قدير,الجزء الثاني,إن الله على كل شيءٖ قدير,سورة البقرة
سورة البقرة,ومن أي مكان خرجت,الجزء الثاني,و من حيث خرجت ,سورة البقرة
سورة البقرة,فوجه وجهك,الجزء الثاني,فول وجهك ,سورة البقرة
سورة البقرة,تلقاء,الجزء الثاني,شطر ,سورة البقرة
سورة البقرة,البيت الحرام,الجزء الثاني,المسجد الحرام,سورة البقرة
سورة البقرة,وإن هذا لهو الحق من مالكك ومدبر أمرك,الجزء الثاني,و إنه للحق من ربك ,سورة البقرة
سورة البقرة,وما الله بساه,الجزء الثاني,و ما الله بغفل ,سورة البقرة
سورة البقرة,عما تصنعون,الجزء الثاني,عما تعملون,سورة البقرة
سورة البقرة,و من أي مكان خرجت,الجزء الثاني,و من حيث خرجت,سورة البقرة
سورة البقرة,فوجه وجهك,الجزء الثاني,فول وجهك ,سورة البقرة
سورة البقرة,تلقاء,الجزء الثاني,شطر ,سورة البقرة
سورة البقرة,البيت الحرام,الجزء الثاني,المسجد الحرام ,سورة البقرة
سورة البقرة,وفي أي مكان كنتم,الجزء الثاني,و حيث ما كنتم,سورة البقرة
